品名,材料合計g,kcal,P,F,C
焼き鳥(もも・塩) 1本,44,84,7.3,6.2,0.0
焼き鳥(ねぎま) 1本,46,65,5.0,4.0,2.7
焼き鳥(皮) 1本,32,138,2.0,14.4,1.1
焼き鳥(ささみ) 1本,40,39,9.6,0.3,0.0
焼き鳥(つくね) 1本,47,76,6.4,4.2,3.7
焼き鳥(砂肝) 1本,35,30,6.4,0.6,0.0
チキンステーキ 1枚,192,393,30.4,30.6,0.9
グリルチキン(むね) 1枚,148,233,30.1,13.3,0.4
チキン南蛮 1人前,182,521,21.1,44.1,13.4
鶏むねの塩麹焼き 1人前,142,193,30.8,6.6,4.9
蒸し鶏(よだれ鶏) 1人前,145,194,28.9,7.8,3.7
棒々鶏 1人前,150,161,27.0,4.4,5.2
豚の生姜焼き 1人前,155,345,22.1,25.2,7.4
豚しゃぶ(冷しゃぶ) 1人前,150,296,20.7,21.5,5.9
豚の角煮 1人前,141,462,16.7,38.9,11.8
豚キムチ炒め 1人前,183,398,15.1,37.0,4.7
回鍋肉 1人前,199,401,13.9,35.4,10.1
豚バラ焼き(サムギョプサル) 1人前,150,485,18.1,45.8,3.7
チーズハンバーグ 1個,170,338,22.7,21.4,15.9
ビーフステーキ(サーロイン) 1枚,199,634,31.7,57.0,1.2
ビーフステーキ(赤身・ヒレ) 1枚,152,294,30.4,20.2,1.0
焼肉(カルビ) 1人前,100,348,11.5,33.8,5.1
焼肉(ロース) 1人前,100,275,14.4,22.8,5.0
焼肉(ハラミ) 1人前,100,269,13.2,23.5,5.1
焼肉(タン) 1人前,78,250,9.3,25.3,0.6
牛すじ煮込み 1人前,150,174,26.6,4.8,9.3
青椒肉絲 1人前,174,235,16.8,15.3,9.4
ロールキャベツ 1個,121,127,9.0,7.6,8.2
麻婆茄子 1人前,201,240,9.6,18.8,12.2
ジンギスカン 1人前,160,200,21.3,12.4,7.7
鶏レバー煮 1人前,84,97,13.6,2.2,6.2
レバニラ炒め 1人前,168,163,17.0,8.6,6.2
もつ煮込み 1人前,160,244,13.4,19.3,6.9
チキンカツ 1枚,129,295,23.9,18.0,11.4
串カツ(豚) 1本,40,116,5.2,8.5,5.4
小籠包 1個,28,67,3.8,3.4,6.0
麻婆春雨 1人前,156,244,8.3,11.3,29.3
鮭の塩焼き 1切れ,80,99,17.8,3.3,0.1
銀鮭の塩焼き 1切れ,80,150,15.7,10.2,0.2
サバの塩焼き 1切れ,90,190,18.5,15.1,0.3
アジの開き 1枚,90,135,18.2,7.9,0.1
ホッケの開き 半身,150,242,30.9,14.1,0.2
サンマの塩焼き 1尾,100,287,18.1,25.6,0.1
イワシの塩焼き 1尾,60,94,11.5,5.5,0.1
ぶり大根 1人前,224,234,16.4,12.4,17.1
カレイの煮付け 1切れ,124,132,20.3,1.3,8.2
金目鯛の煮付け 1切れ,124,195,18.4,9.0,9.5
タラの塩焼き 1切れ,80,58,14.1,0.2,0.1
ムニエル(タラ・鮭) 1切れ,106,186,20.5,10.3,4.2
アクアパッツァ 1人前,183,186,16.9,10.5,3.6
天ぷら盛り合わせ 1人前,138,350,14.0,24.5,21.5
エビチリ 1人前,175,183,20.4,7.4,10.1
エビマヨ 1人前,139,334,20.1,26.1,8.0
刺身盛り合わせ 1人前,120,195,25.8,11.0,0.6
あさりの酒蒸し 1人前,121,67,5.8,3.1,1.4
野菜炒め 1人前,182,196,5.8,17.0,7.0
もやし炒め 1人前,143,96,2.8,8.1,3.8
小松菜のおひたし 小鉢1,64,12,1.5,0.1,1.7
ほうれん草の胡麻和え 小鉢1,64,44,2.3,2.4,4.7
かぼちゃの煮物 小鉢1,98,97,2.0,0.3,24.2
里芋の煮物 小鉢1,97,72,1.7,0.1,16.8
なすの煮浸し 小鉢1,84,65,1.1,5.1,5.2
なすの味噌炒め 1人前,115,170,4.1,13.8,9.8
ゴーヤチャンプルー 1人前,180,239,12.5,20.4,3.6
ラタトゥイユ 1人前,165,108,1.8,8.2,8.7
アスパラベーコン 1人前,73,77,4.7,6.0,2.6
オクラのおかか和え 小鉢1,49,17,1.9,0.1,3.2
もろきゅう 1人前,80,30,1.7,0.4,5.9
たたききゅうり 小鉢1,80,48,1.2,3.9,2.7
コールスロー 小鉢1,90,96,1.1,7.7,7.1
ポテトサラダ 小鉢1,101,144,2.9,11.1,12.2
マカロニサラダ 小鉢1,77,173,4.1,12.2,14.3
かぼちゃサラダ 小鉢1,76,140,1.4,9.3,16.0
グリーンサラダ 1皿,85,30,0.8,1.5,3.9
シーザーサラダ 1皿,123,151,8.1,10.7,7.7
海藻サラダ 1皿,60,32,1.1,1.9,3.7
大根サラダ 1皿,78,35,1.3,1.9,3.7
トマトとモッツァレラのカプレーゼ 1人前,110,192,7.8,16.0,4.6
ナムル盛り合わせ 小鉢1,62,67,1.7,6.0,2.7
チョレギサラダ 1皿,84,74,1.2,6.6,3.0
野菜スティック 1人前,105,71,1.7,4.2,8.5
梅きゅうり 小鉢1,60,17,0.6,0.1,4.1
酢の物(わかめ・きゅうり) 小鉢1,52,22,0.7,0.1,4.9
春雨サラダ 小鉢1,61,125,2.9,5.0,17.0
オムレツ(チーズ) 1個,140,248,17.3,19.4,1.5
キッシュ 1切れ,108,288,9.7,22.4,13.9
アヒージョ(エビ・きのこ) 1人前,115,405,9.0,40.4,3.1
フライドチキン 1個,90,245,12.6,19.4,6.1
ハンバーガー 1個,108,239,10.8,9.6,29.1
チーズバーガー 1個,115,276,13.5,12.7,29.2
ミックスフライ盛り合わせ 1人前,180,381,19.9,21.3,31.0
チーズフォンデュ 1人前,155,297,17.2,15.9,23.6
タンドリーチキン 1人前,150,270,22.5,19.2,3.9
チーズタッカルビ 1人前,238,406,25.9,27.4,16.4
トッポギ 1人前,152,296,5.3,3.8,60.9
チヂミ 1枚,197,373,10.8,15.7,48.1
キンパ 1本,227,379,11.5,14.2,54.7
生春巻き 1本,67,84,4.3,0.4,16.4
ケバブ(チキン) 1人前,147,247,16.0,19.3,4.8
スクランブルエッグ 卵2個分,126,204,13.8,16.5,0.9
オムレツ(プレーン) 1個,124,203,13.7,16.4,0.8
茶碗蒸し 1個,150,78,7.2,4.6,2.7
ニラ玉 1人前,151,222,14.2,17.3,2.9
かに玉 1人前,202,288,17.2,19.5,11.1
冷奴 1人前,141,82,8.1,4.6,3.4
湯豆腐 1人前,196,119,11.4,7.4,3.7
揚げ出し豆腐 1人前,165,209,8.3,15.4,10.9
高野豆腐の煮物 1人前,89,112,9.2,5.8,6.6
オートミール米化 1食,30,105,4.1,1.7,20.7
オーバーナイトオーツ 1杯,178,244,9.9,7.0,40.5
オートミール蒸しパン 1個,118,230,11.6,8.3,30.1
プロテインオートミール 1杯,195,317,28.0,8.5,36.4
おから蒸しパン 1個,120,205,12.5,9.7,22.3
鶏ハム 1人前,102,113,23.3,1.9,2.1
鶏むねそぼろ 1人前,79,136,12.6,8.4,3.4
沼 1食,356,449,30.1,3.1,81.8
マグマ 1食,413,454,29.7,3.1,82.2
鶏むね+ブロッコリー+玄米弁当 1食,350,390,38.3,4.4,58.2
脂肪燃焼スープ 1杯,297,64,3.1,0.4,14.3
パワーサラダ 1皿,275,255,24.1,15.8,10.7
サラダボウル(玄米入り) 1皿,295,324,18.7,9.7,46.3
豆腐サラダ 1皿,186,117,8.6,7.2,6.2
温野菜(蒸し野菜) 1皿,150,68,4.6,0.5,15.7
納豆キムチ豆腐 1人前,195,158,14.5,8.7,9.5
塩昆布キャベツ 小鉢1,78,52,1.7,3.1,5.5
酢キャベツ 小鉢1,80,26,0.8,0.1,5.8
無限ピーマン 小鉢1,79,81,3.3,6.4,3.4
ヨーグルトバーク 1人前,100,68,2.7,2.1,10.8
ゆで鶏(鶏しゃぶ) 1人前,150,152,33.0,2.7,0.9
鶏むねのレンジ蒸しポン酢 1人前,160,156,33.2,2.7,1.7
鶏むねピカタ 1人前,148,223,31.5,9.8,4.0
揚げない塩唐揚げ 1人前,121,192,23.5,7.9,7.5
鶏むねナゲット 5個,123,259,22.9,16.6,6.4
ささみの梅しそ焼き 1人前,114,149,24.3,3.9,5.7
ささみチーズ焼き 1人前,127,192,27.9,7.8,4.0
ガーリックチキンステーキ 1人前,165,340,25.6,26.3,1.8
蒸しささみ 2本,83,82,19.1,0.6,0.2
鶏むねの柚子胡椒焼き 1人前,141,176,30.6,6.5,0.7
卵白オムレツ 1人前,128,83,12.3,3.2,0.8
全卵+卵白スクランブル 1人前,138,142,14.1,9.0,1.0
自家製味玉 1個,55,72,6.5,5.2,1.2
エッグマフィン 1個,115,294,16.1,16.9,22.3
サバ缶トマト煮 1人前,218,220,21.0,13.4,6.3
サバ缶キムチ和え 1人前,138,203,20.8,13.2,2.4
ツナ豆腐 1人前,190,115,14.6,5.5,3.4
エビとブロッコリーの炒め 1人前,167,201,18.3,13.5,6.7
しらたき混ぜごはん 茶碗1杯,173,193,3.3,0.4,46.3
カリフラワーライスチャーハン 1人前,245,234,14.8,16.0,10.3
オートミールチャーハン 1人前,132,314,15.7,16.1,30.0
オートミールリゾット 1杯,180,249,13.3,8.8,34.9
ゼンパスタ 1人前,286,78,1.2,5.2,9.9
プロテインスムージー(バナナ) 1杯,280,302,28.0,7.4,32.7
プロテインヨーグルト 1杯,165,142,16.4,5.2,8.9
プロテインコーヒー 1杯,245,106,18.7,1.2,4.0
プロテインアイス(自家製) 1個,100,130,17.0,2.8,9.4
プロテインパンケーキ 1人前,160,327,29.6,8.7,34.7
きのこのソテー 1人前,110,72,2.8,5.3,5.8
しらたき明太パスタ風 1人前,215,101,5.9,7.3,6.5
キャベツの塩だれ和え 小鉢1,86,58,1.2,4.1,5.0
豆腐グラタン 1人前,233,228,15.6,15.2,9.3
キヌアサラダ 1皿,193,253,5.6,14.3,27.9
アボカドトースト 1枚,110,244,5.3,15.3,25.8
テンペ焼き 1人前,100,218,14.5,14.1,14.2
もち麦入り野菜スープ 1杯,292,118,5.7,1.9,22.2
鶏むね+白米セット 1食,350,470,40.0,3.4,74.4
あんこトースト 1枚,90,167,7.9,2.2,32.4
はちみつトースト 1枚,75,247,4.1,9.9,37.3
ピーナッツバタートースト 1枚,77,303,10.6,18.0,28.8
オートミールバナナボウル 1杯,250,327,9.9,6.3,63.1
磯辺餅 2個,110,242,4.9,0.6,54.7
プロテイン牛乳割り 1杯,230,239,28.5,9.1,12.6
鶏もも+白米弁当 1食,396,640,29.0,19.3,92.7
バナナジュース 1杯,250,184,6.0,5.9,29.7
アボカド納豆 1人前,109,193,8.9,15.1,10.8
ブルーベリーヨーグルト 1杯,150,82,4.5,3.6,9.8
りんごヨーグルト 1杯,180,101,4.8,4.1,14.5
納豆ごはん 1杯,197,318,11.3,5.0,61.3
納豆卵かけごはん 1杯,254,398,18.2,10.6,61.6
サバ缶ごはん 1杯,248,402,23.8,10.6,56.1
しらす丼 1杯,178,259,8.6,0.9,56.1
マグロ納豆 1人前,121,167,26.2,5.5,6.0
キムチ奴 1人前,175,112,8.0,7.6,4.9
めかぶ奴 1人前,194,88,8.2,5.2,4.8
はちみつヨーグルト 1杯,120,108,3.8,3.2,17.4
バナナヨーグルト 1杯,198,159,5.1,3.7,28.2
納豆そば 1人前,335,447,21.1,7.1,78.5
オートミール茶漬け 1杯,236,124,5.7,1.9,23.4
サバ缶味噌汁 1杯,247,166,18.7,9.3,3.7
アボカド醤油(刺身風) 1人前,78,133,2.0,12.5,6.8
ツナ玉ねぎサラダ 1人前,119,172,7.2,13.8,6.6
ちくわきゅうり 1人前,80,57,6.9,0.2,7.6
チョコレートケーキ 1切れ,98,371,6.6,21.5,42.6
杏仁豆腐 1個,114,149,4.9,7.7,16.9
かき氷(シロップ) 1杯,33,118,0.0,0.0,29.9
おはぎ 1個,80,164,3.2,0.2,38.4
わらび餅 1人前,44,165,3.0,2.1,34.1
マカロン 1個,20,77,2.0,3.9,9.2
パフェ(いちご・チョコ) 1個,180,438,7.0,23.9,52.5
クレープ(チョコバナナ) 1個,150,363,6.4,19.4,43.1
カフェラテ(ミルク入り) 1杯,200,54,2.9,3.0,4.7
ミルクティー(加糖) 1杯,198,57,1.5,1.5,10.0
レモンサワー 1杯,77,109,0.0,0.0,6.0
アメリカンドッグ 1本,98,268,7.9,13.0,30.9
天かす 大さじ2,10,67,0.4,6.1,3.0
