品名,食品番号,成分表名,1単位g,kcal,P,F,C,100gあたりkcal,備考
どら焼き 1個,15156,＜和生菓子・和半生菓子類＞　どら焼　こしあん入り,70.0,197,4.6,2.2,40.9,282.0,
たい焼き 1個,15005,＜和生菓子・和半生菓子類＞　今川焼　こしあん入り,100.0,217,4.5,1.1,48.3,217.0,今川焼の値で代用
みたらし団子 1本,15019,＜和生菓子・和半生菓子類＞　くし団子　みたらし,60.0,116,1.9,0.2,26.9,194.0,
カステラ 1切れ,15009,＜和生菓子・和半生菓子類＞　カステラ,50.0,156,3.5,2.5,30.9,313.0,
ようかん 1切れ,15038,＜和生菓子・和半生菓子類＞　ようかん　練りようかん,50.0,144,1.8,0.1,35.0,289.0,
クッキー 1枚,15098,＜ビスケット類＞　ビスケット　ソフトビスケット,10.0,51,0.6,2.8,6.3,512.0,
チョコレート(板チョコ) 1かけ,15116,＜チョコレート類＞　ミルクチョコレート,5.0,28,0.3,1.7,2.8,550.0,
ポテトチップス 1袋(60g),15103,＜スナック類＞　ポテトチップス　ポテトチップス,60.0,325,2.8,21.1,32.8,541.0,
ポテトチップス 小袋(28g),15103,＜スナック類＞　ポテトチップス　ポテトチップス,28.0,151,1.3,9.9,15.3,541.0,
せんべい 1枚,15060,＜和干菓子類＞　米菓　しょうゆせんべい,15.0,55,1.1,0.1,12.6,368.0,
ポップコーン 1袋,01136,とうもろこし　ポップコーン,50.0,236,5.1,11.4,29.8,472.0,
ドーナツ(オールドファッション) 1個,15078,＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　プレーン,60.0,220,4.3,7.0,36.1,367.0,
ワッフル 1個,15084,＜ケーキ・ペストリー類＞　ワッフル　カスタードクリーム入り,60.0,145,4.4,4.7,22.9,241.0,
みかん 1個,07027,（かんきつ類）　うんしゅうみかん　じょうのう　普通　生,80.0,39,0.6,0.1,9.6,49.0,
りんご 1/2個,07176,りんご　皮つき　生,125.0,70,0.2,0.4,20.2,56.0,皮つき(ティア推奨)
キウイ 1個,07054,キウイフルーツ　緑肉種　生,85.0,43,0.8,0.2,11.4,51.0,
ぶどう(シャインマスカット等) 10粒,07178,ぶどう　皮つき　生,100.0,69,0.6,0.2,16.9,69.0,皮つき
いちご 5粒,07012,いちご　生,75.0,23,0.7,0.1,6.4,31.0,
梨 1/2個,07088,（なし類）　日本なし　生,130.0,49,0.4,0.1,14.7,38.0,
桃 1個,07136,（もも類）　もも　白肉種　生,170.0,65,1.0,0.2,17.3,38.0,
柿 1個,07049,かき　甘がき　生,150.0,94,0.6,0.3,23.9,63.0,
スイカ 1切れ,07077,すいか　赤肉種　生,200.0,82,1.2,0.2,19.0,41.0,
パイナップル 3切れ,07097,パインアップル　生,90.0,49,0.5,0.1,12.3,54.0,
ドライフルーツ(小袋) 1袋,07117,ぶどう　干しぶどう,30.0,97,0.8,0.1,24.1,324.0,干しぶどうで代表
水・お茶 0kcal,(手動),0kcal,200.0,0,0.0,0.0,0.0,0,0kcal
ブラックコーヒー 1杯,16045,＜コーヒー・ココア類＞　コーヒー　浸出液,150.0,6,0.3,0.0,1.1,4.0,
紅茶(無糖) 1杯,16044,＜茶類＞　（発酵茶類）　紅茶　浸出液,150.0,2,0.1,0.0,0.1,1.0,
オレンジジュース コップ1杯,07043,（かんきつ類）　オレンジ　バレンシア　果実飲料　濃縮還元ジュース,200.0,92,1.4,0.2,21.4,46.0,
りんごジュース コップ1杯,07150,りんご　果実飲料　濃縮還元ジュース,200.0,94,0.2,0.4,22.8,47.0,
コーラ 1本(500ml),16053,＜その他＞　（炭酸飲料類）　コーラ,500.0,230,0.5,0.0,57.0,46.0,
サイダー 1本(500ml),16054,＜その他＞　（炭酸飲料類）　サイダー,500.0,205,0.0,0.0,51.0,41.0,
甘酒 1杯,16050,＜その他＞　甘酒,150.0,114,2.5,0.1,27.4,76.0,
ビール 中ジョッキ1杯,16006,＜アルコール飲料類＞　（醸造酒類）　ビール　淡色,435.0,170,1.3,0.0,13.5,39.0,
ビール 缶(350ml),16006,＜アルコール飲料類＞　（醸造酒類）　ビール　淡色,350.0,136,1.1,0.0,10.8,39.0,淡色
発泡酒 缶(350ml),16009,＜アルコール飲料類＞　（醸造酒類）　発泡酒,350.0,154,0.3,0.0,12.6,44.0,
日本酒 1合,16001,＜アルコール飲料類＞　（醸造酒類）　清酒　普通酒,180.0,193,0.7,0.0,8.8,107.0,
焼酎(ロック) 1杯,16015,＜アルコール飲料類＞　（蒸留酒類）　しょうちゅう　単式蒸留しょうちゅう,60.0,86,0.0,0.0,0.0,144.0,
ウイスキー(シングル) 1杯,16016,＜アルコール飲料類＞　（蒸留酒類）　ウイスキー,30.0,70,0.0,0.0,0.0,234.0,
ワイン(赤) グラス1杯,16011,＜アルコール飲料類＞　（醸造酒類）　ぶどう酒　赤,120.0,82,0.2,0.0,1.8,68.0,
ワイン(白) グラス1杯,16010,＜アルコール飲料類＞　（醸造酒類）　ぶどう酒　白,120.0,90,0.1,0.0,2.4,75.0,
梅酒(ロック) 1杯,16022,＜アルコール飲料類＞　（混成酒類）　梅酒,60.0,93,0.1,0.0,12.4,155.0,
マヨネーズ 大さじ1,17042,＜調味料類＞　（ドレッシング類）　半固体状ドレッシング　マヨネーズ　全卵型,12.0,80,0.2,9.1,0.4,668.0,
ケチャップ 大さじ1,17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ,15.0,17,0.2,0.0,4.1,116.0,
和風ドレッシング 大さじ1,17116,＜調味料類＞　（ドレッシング類）　分離液状ドレッシング　和風ドレッシング　分離液状,15.0,27,0.3,2.2,1.4,179.0,
ごまドレッシング 大さじ1,17117,＜調味料類＞　（ドレッシング類）　乳化液状ドレッシング　ごまドレッシング,15.0,60,0.4,5.7,2.2,399.0,
焼肉のタレ 大さじ1,17113,＜調味料類＞　（調味ソース類）　焼き肉のたれ,18.0,30,0.8,0.4,5.8,164.0,
ポン酢 大さじ1,17110,＜調味料類＞　（調味ソース類）　ぽん酢しょうゆ,18.0,9,0.6,0.0,1.3,49.0,
めんつゆ(ストレート) 100ml,17029,＜調味料類＞　（だし類）　めんつゆ　ストレート,100.0,44,2.2,0.0,8.7,44.0,
ソース(中濃) 大さじ1,17002,＜調味料類＞　（ウスターソース類）　中濃ソース,18.0,23,0.1,0.0,5.6,129.0,
バター 10g,14017,（バター類）　無発酵バター　有塩バター,10.0,70,0.1,8.1,0.0,700.0,
ジャム(いちご) 大さじ1,07013,いちご　ジャム　高糖度,20.0,50,0.1,0.0,12.7,250.0,
ピーナッツバター 大さじ1,05037,らっかせい　ピーナッツバター,17.0,102,3.5,8.6,4.2,599.0,
粉チーズ 大さじ1,13038,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　パルメザン,6.0,27,2.6,1.8,0.1,445.0,
すりごま 大さじ1,05018,ごま　いり,9.0,54,1.8,4.9,1.7,605.0,
ナン 1枚,01037,こむぎ　［パン類］　ナン,80.0,206,8.2,2.7,38.1,257.0,
ライ麦パン 1枚,01032,こむぎ　［パン類］　ライ麦パン,60.0,151,5.0,1.3,31.6,252.0,
八宝菜 1人前,18048,中国料理　菜類　八宝菜,220.0,141,12.8,7.0,8.4,64.0,
がんもどきの煮物 1個,04041,だいず　［豆腐・油揚げ類］　がんもどき,80.0,178,12.2,14.2,1.3,223.0,
明太子 1腹,10204,＜魚類＞　（たら類）　すけとうだら　からしめんたいこ,30.0,36,6.3,1.0,0.9,121.0,
卵白 1個分,12014,鶏卵　卵白　生,35.0,15,3.5,0.0,0.2,44.0,
鶏もも(皮なし) 100g,11224,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　生,100.0,113,19.0,5.0,0.0,113.0,
鶏もも(皮つき) 100g,11221,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　生,100.0,190,16.6,14.2,0.0,190.0,
