品名,食品番号,成分表名,1単位g,kcal,P,F,C,100gあたりkcal,備考
とんかつ(ロース) 1枚,11276,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,150.0,644,33.0,53.9,14.7,429.0,
とんかつ(ヒレ) 1人前,11279,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,120.0,455,30.1,30.4,17.9,379.0,
ハンバーグ 1個,18050,洋風料理　ハンバーグステーキ類　合いびきハンバーグ,150.0,296,20.1,18.3,15.0,197.0,
豆腐ハンバーグ 1個,18052,洋風料理　ハンバーグステーキ類　豆腐ハンバーグ,150.0,213,14.8,13.8,12.6,142.0,
ローストビーフ 1人前,11104,＜畜肉類＞　うし　［加工品］　ローストビーフ,80.0,152,17.4,9.4,0.7,190.0,
肉じゃが 1人前,18036,和風料理　煮物類　肉じゃが,200.0,156,8.6,2.6,26.0,78.0,
ミートボール 3個,18015,洋風料理　素揚げ類　ミートボール,90.0,179,9.2,11.2,12.1,199.0,
メンチカツ 1個,18022,洋風料理　フライ類　メンチカツ,90.0,246,9.6,16.8,16.8,273.0,
コロッケ(ポテト) 1個,18018,洋風料理　コロッケ類　ポテトコロッケ,80.0,181,4.2,10.1,20.2,226.0,
餃子 1個,18002,中国料理　点心類　ぎょうざ,25.0,52,1.7,2.8,5.6,209.0,
シュウマイ 1個,18012,中国料理　点心類　しゅうまい,25.0,48,2.3,2.3,4.9,191.0,
春巻き 1本,18056,中国料理　点心類　春巻き,60.0,133,3.6,5.1,18.1,221.0,脂質は原表不整合のためエネルギー整合値に補正(8.5/100g)
酢豚 1人前,18047,中国料理　菜類　酢豚,200.0,154,9.2,6.6,15.2,77.0,
麻婆豆腐 1人前,18049,中国料理　菜類　麻婆豆腐,220.0,229,17.2,15.0,8.4,104.0,
ソーセージ 1本,11186,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ウインナーソーセージ,20.0,64,2.3,6.1,0.7,319.0,
ベーコン 1枚,11184,＜畜肉類＞　ぶた　［ベーコン類］　ロースベーコン,17.0,34,2.9,2.5,0.5,202.0,
ハム(ロース) 1枚,11176,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,15.0,32,2.8,2.2,0.3,211.0,
生ハム 3枚,11181,＜畜肉類＞　ぶた　［ハム類］　生ハム　促成,30.0,73,7.2,5.0,0.1,243.0,
サバの味噌煮 1切れ,10165,＜魚類＞　（さば類）　缶詰　みそ煮,120.0,252,19.6,16.7,7.9,210.0,
ブリの照り焼き 1切れ,10242,＜魚類＞　ぶり　成魚　焼き,90.0,234,23.6,18.4,0.3,260.0,
アジフライ 1枚,10390,＜魚類＞　（あじ類）　まあじ　皮つき　フライ,80.0,216,16.1,14.6,6.3,270.0,
白身魚フライ 1枚,18021,洋風料理　フライ類　白身フライ,80.0,239,7.8,17.4,13.0,299.0,
エビフライ 1本,18020,洋風料理　フライ類　えびフライ,40.0,94,6.4,4.6,8.2,236.0,
カキフライ 1個,10430,＜貝類＞　かき　養殖　フライ,40.0,102,3.0,4.4,13.2,256.0,
エビの天ぷら 1本,10416,＜えび・かに類＞　（えび類）　バナメイえび　養殖　天ぷら,35.0,68,7.0,3.6,2.3,194.0,
マグロ刺身(赤身) 5切れ,10253,＜魚類＞　（まぐろ類）　くろまぐろ　天然　赤身　生,60.0,69,15.8,0.8,0.1,115.0,
サーモン刺身 5切れ,10438,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　生,60.0,134,11.8,10.2,0.1,223.0,
カツオのたたき 1人前,10086,＜魚類＞　（かつお類）　かつお　春獲り　生,100.0,108,25.8,0.5,0.1,108.0,
しらす(釜揚げ) 大さじ2,10445,＜魚類＞　（いわし類）　しらす　釜揚げしらす,20.0,17,3.5,0.3,0.0,84.0,
ちくわ 1本,10381,＜水産練り製品＞　焼き竹輪,30.0,32,4.0,0.1,4.0,107.0,
かまぼこ 2切れ,10379,＜水産練り製品＞　蒸しかまぼこ,30.0,28,3.6,0.3,2.9,93.0,
カニカマ 1本,10376,＜水産練り製品＞　かに風味かまぼこ,15.0,13,1.8,0.1,1.4,89.0,
さつま揚げ 1枚,10386,＜水産練り製品＞　さつま揚げ,60.0,70,6.8,1.4,7.6,116.0,
はんぺん 1枚,10385,＜水産練り製品＞　はんぺん,100.0,93,9.9,1.0,11.4,93.0,
ツナ缶(水煮) 1缶,10260,＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ライト,70.0,49,11.2,0.5,0.1,70.0,
ツナ缶(油漬) 1缶,10263,＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ライト,70.0,186,12.4,15.2,0.1,265.0,
イワシ缶(味付) 1缶,10061,＜魚類＞　（いわし類）　缶詰　味付け,100.0,203,20.4,11.9,5.7,203.0,
エビ(ボイル) 5尾,10415,＜えび・かに類＞　（えび類）　バナメイえび　養殖　生,60.0,49,11.8,0.4,0.4,82.0,バナメイえび生
イカ(刺身・焼き) 1人前,10345,＜いか・たこ類＞　（いか類）　するめいか　生,80.0,61,14.3,0.6,0.1,76.0,
タコ(ゆで) 1人前,10362,＜いか・たこ類＞　（たこ類）　まだこ　ゆで,80.0,73,17.4,0.6,0.1,91.0,
ホタテ(刺身・焼き) 3個,10313,＜貝類＞　ほたてがい　貝柱　生,60.0,49,10.1,0.2,2.1,82.0,
牡蠣(生・蒸し) 3個,10292,＜貝類＞　かき　養殖　生,60.0,35,4.1,1.3,2.9,58.0,
うなぎの蒲焼 1串,10070,＜魚類＞　うなぎ　かば焼,100.0,285,23.0,21.0,3.1,285.0,
ゆで卵 1個,12005,鶏卵　全卵　ゆで,50.0,67,6.2,5.2,0.1,134.0,
だし巻き卵 2切れ,12019,鶏卵　たまご焼　だし巻きたまご,80.0,98,8.8,7.4,0.4,123.0,
温泉卵 1個,12004,鶏卵　全卵　生,50.0,71,6.1,5.1,0.2,142.0,生と同値
絹ごし豆腐 100g,04033,だいず　［豆腐・油揚げ類］　絹ごし豆腐,100.0,56,5.3,3.5,2.0,56.0,
厚揚げ(焼き) 1/2枚,04039,だいず　［豆腐・油揚げ類］　生揚げ,100.0,143,10.7,11.3,0.9,143.0,
油揚げ 1枚,04040,だいず　［豆腐・油揚げ類］　油揚げ　生,30.0,113,7.0,10.3,0.1,377.0,
おから(卯の花) 小鉢1,18029,和風料理　煮物類　卯の花いり,80.0,67,3.5,3.3,8.6,84.0,卯の花いり(18群)
豆乳(調製) コップ1杯,04053,だいず　［その他］　豆乳　調製豆乳,200.0,122,6.4,7.2,9.6,61.0,
牛乳 コップ1杯,13003,＜牛乳及び乳製品＞　（液状乳類）　普通牛乳,200.0,122,6.6,7.6,9.6,61.0,
低脂肪乳 コップ1杯,13005,＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,200.0,84,7.6,2.0,11.0,42.0,
飲むヨーグルト コップ1杯,13027,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　ドリンクタイプ　加糖,180.0,115,5.2,0.9,22.0,64.0,
ヨーグルト(加糖) 1個,13026,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　脱脂加糖,80.0,52,3.4,0.2,9.5,65.0,
カッテージチーズ 大さじ2,13033,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　カテージ,30.0,30,4.0,1.4,0.6,99.0,
モッツァレラチーズ 1/2個,13056,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　モッツァレラ,50.0,134,9.2,9.9,2.1,269.0,
